CatIndex	ProdIndex
000219	631.0052
000219	311.0089
000219	555.0331
000219	565.0005
000219	352.9052
000220	622.0012
000236	174.9225
000236	174.9224
000236	174.9223
000236	174.9222
000236	173.0206
000236	173.0205
000236	174.9221
000236	594.0026
000236	174.9220
000236	174.9219
000236	602.0001
000236	602.0025
000236	594.0039
000236	581.0101
000236	802.0114
000236	174.2293
000236	629.0005
000236	529.1038
000236	493.1304
000236	493.1701
000236	594.0037
000236	174.9212
000236	174.9211
000236	614.0012
000236	493.1505
000236	587.0100
000236	618.0015
000236	493.1113
000236	622.0011
000236	622.0010
000236	594.0038
000236	493.1101
000236	594.0036
000236	493.1001
000236	493.1400
000236	569.2032
000236	622.0008
000236	493.1700
000236	622.0009
000236	602.0019
000236	587.0090
000236	629.1900
000236	581.0100
000236	493.1204
000236	587.1000
000236	311.0059
000236	311.0058
000236	173.0199
000236	594.0035
000237	173.0206
000237	173.0205
000237	593.1040
000237	607.0003
000237	593.5010
000237	607.0006
000237	593.1220
000237	593.2021
000237	593.1039
000237	624.1114
000237	625.0001
000237	174.2293
000237	593.1215
000237	593.1600
000237	625.0003
000237	593.9400
000237	593.4201
000237	593.1038
000237	593.1023
000237	607.0005
000237	593.1037
000237	593.2002
000237	607.0001
000237	598.5014
000237	173.0199
000237	593.2000
000237	607.0002
000237	624.0031
000237	607.0004
000237	593.9000
000237	593.4102
000223	174.9225
000223	174.9224
000223	174.9223
000223	174.9222
000223	173.0206
000223	173.0205
000223	174.9221
000223	579.1002
000223	493.1300
000223	587.1006
000223	174.9220
000223	174.9219
000223	802.0130
000223	618.0023
000223	802.0112
000223	174.0233
000223	624.1135
000223	624.1114
000223	629.0005
000223	593.1038
000223	493.1101
000223	493.1700
000223	593.1023
000223	606.0008
000223	625.0002
000223	602.0019
000223	631.0015
000223	593.2002
000223	631.0001
000223	611.1000
000223	587.1000
000223	174.2293
000223	593.1215
000223	593.1600
000223	625.0003
000223	174.9208
000223	174.9209
000223	174.9210
000223	594.7034
000223	493.1304
000223	593.9400
000223	493.1701
000223	593.4201
000223	174.9212
000223	174.9211
000223	614.0012
000223	618.0015
000223	611.1001
000223	593.1026
000223	579.0010
000223	606.0006
000223	607.0005
000223	607.0001
000223	579.0001
000223	598.5014
000223	598.2017
000223	173.0199
000223	593.2000
000223	607.0002
000223	606.0002
000223	606.0004
000223	607.0004
000223	493.1201
000238	606.0009
000238	579.0050
000238	607.0003
000238	611.1012
000238	606.0007
000238	607.0006
000238	579.0010
000238	606.0006
000238	607.0005
000238	606.0008
000238	625.0002
000238	625.0001
000238	625.0003
000238	611.1000
000238	607.0001
000238	606.0002
000238	611.1001
000238	606.0004
000238	607.0004
000224	631.0052
000224	622.0012
000224	587.0057
000224	568.0105
000224	568.1005
000224	583.0145
000224	802.0077
000224	583.0102
000224	568.0121
000224	568.0119
000224	311.0059
000224	619.0002
000224	311.0058
000224	568.0113
000224	802.0017
000224	568.0111
000224	493.1201
000225	174.9225
000225	174.9224
000225	174.9223
000225	174.9222
000225	173.0205
000225	493.1031
000225	581.0110
000225	493.1300
000225	629.0447
000225	587.0039
000225	493.1606
000225	593.1040
000225	593.5010
000225	802.0130
000225	618.0023
000225	493.1601
000225	593.1220
000225	493.1102
000225	704.0016
000225	583.0106
000225	579.0049
000225	593.9000
000225	624.1114
000225	802.0114
000225	583.0102
000225	593.1038
000225	704.0001
000225	493.1101
000225	493.1001
000225	569.2032
000225	622.0008
000225	493.1700
000225	593.1023
000225	583.0145
000225	802.0077
000225	622.0009
000225	602.0019
000225	631.0015
000225	593.2002
000225	568.0121
000225	581.0100
000225	611.1000
000225	493.1204
000225	311.0059
000225	311.0058
000225	802.0017
000225	600.2074
000225	581.0101
000225	529.1038
000225	593.1215
000225	593.1600
000225	529.1001
000225	594.7034
000225	493.1304
000225	593.9400
000225	493.1701
000225	594.0037
000225	493.1505
000225	587.0100
000225	493.1113
000225	622.0011
000225	622.0010
000225	611.1001
000225	593.1026
000225	493.1400
000225	579.0001
000225	598.5014
000225	598.2017
000225	173.0199
000225	593.2000
000225	606.0002
000225	607.0004
000225	493.1201
000234	493.1031
000234	629.0447
000234	493.1102
000234	704.0016
000234	593.1023
000234	593.2002
000234	631.0001
000234	629.1900
000234	593.9400
000234	593.4201
000234	493.1204
000234	493.1505
000234	704.0001
000234	930.3110
000234	618.0015
000234	493.1113
000234	930.3160
000234	493.1001
000234	493.1400
000234	600.2074
000234	594.0035
000226	930.0019
000226	930.0022
000226	930.0021
000226	930.0020
000226	930.1112
000226	930.3161
000226	940.0075
000226	940.0076
000226	940.0084
000226	930.3110
000226	940.0067
000226	930.3160
000226	600.2074
000227	930.0015
000227	930.0006
000227	980.0040
000227	930.0014
000228	950.0051
000228	950.0050
000228	950.0049
000228	950.0046
000228	950.0047
000228	950.0048
000228	950.0044
000228	910.1118
000228	910.0002
000228	910.0004
000228	910.0005
000228	950.0017
000229	930.0230
000230	940.0058
000230	940.0056
000230	940.0057
000231	960.0005
000231	960.0001
000231	900.1008
